ID,Parent_ID,Category
10904,10171,/Apparel/Jewelry/Brooches & Pins
10896,10171,/Apparel/Jewelry/Cufflinks
10901,10171,/Apparel/Jewelry/Earrings
10910,10171,/Apparel/Jewelry/Jewelry Cleaning & Repair
10903,10171,/Apparel/Jewelry/Necklaces
10897,10171,/Apparel/Jewelry/Pearls & Pearl Jewelry
10893,10171,/Apparel/Jewelry/Precious & Semi-Precious Gems & Gemstone Jewelry
12234,10893,/Apparel/Jewelry/Precious & Semi-Precious Gems & Gemstone Jewelry/Birthstone Jewelry
12233,10893,/Apparel/Jewelry/Precious & Semi-Precious Gems & Gemstone Jewelry/Diamond Jewelry
10895,10171,/Apparel/Jewelry/Precious Metal Jewelry
12235,10895,/Apparel/Jewelry/Precious Metal Jewelry/Gold Jewelry
13115,"1,22,35,10,899",/Apparel/Jewelry/Precious Metal Jewelry/Gold Jewelry/Gold Watches
12236,10895,/Apparel/Jewelry/Precious Metal Jewelry/Silver Jewelry
10892,10171,/Apparel/Jewelry/Rings
12231,"1,08,92,12,233",/Apparel/Jewelry/Rings/Engagement Rings
12232,10892,/Apparel/Jewelry/Rings/Wedding Rings
10899,10171,/Apparel/Jewelry/Watches & Watch Accessories
13355,10021,/Apparel/Rain Gear
13354,"1,33,55,10,178",/Apparel/Rain Gear/Rain Umbrellas
10013,0,/Arts & Entertainment
13530,10013,/Arts & Entertainment/Arts & Entertainment Awards
13760,10013,/Arts & Entertainment/Cartoons
10723,"10,01,31,01,08,10,135",/Arts & Entertainment/Comics & Graphic Novels
13443,10723,/Arts & Entertainment/Comics & Graphic Novels/Comic Strips
12001,10723,/Arts & Entertainment/Comics & Graphic Novels/Independent & Alternative Comic Books
13570,10723,/Arts & Entertainment/Comics & Graphic Novels/Manga
12002,10723,/Arts & Entertainment/Comics & Graphic Novels/Superhero Comic Books
10105,"1,00,13,10,004",/Arts & Entertainment/Entertainment Industry
13536,10105,/Arts & Entertainment/Entertainment Industry/Film & TV Industry
10566,"1,35,36,10,103",/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting
11860,10566,/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/Digital TV
11859,"10,56,61,34,18,13,691",/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/Internet TV
13897,10566,/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Networks & Stations
10557,10566,/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs
13880,10557,/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Comedies
13881,10557,/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Documentary & Nonfiction
13882,10557,/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Dramas
13883,10557,/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Family-Oriented Shows
13884,10557,/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Game Shows
13885,10557,/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Reality Shows
13886,10557,/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Sci-Fi & Fantasy Shows
13887,10557,/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Talent & Variety Shows
13888,10557,/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Talk Shows
13574,10105,/Arts & Entertainment/Entertainment Industry/Music & Recording Industry
10565,"1,01,05,10,746",/Arts & Entertainment/Entertainment Industry/Talent Promotion
13670,"1,00,13,13,575",/Arts & Entertainment/Entertainment Media Retailers
10104,10013,/Arts & Entertainment/Event Entertainment
10563,"1,01,04,10,369",/Arts & Entertainment/Event Entertainment/Bachelor & Bachelorette Parties
10564,"1,01,04,10,368",/Arts & Entertainment/Event Entertainment/Children's Parties
13751,"1,01,04,10,111",/Arts & Entertainment/Event Entertainment/Fireworks
13492,"1,01,04,10,369",/Arts & Entertainment/Event Entertainment/Wedding Entertainment
10111,10013,"/Arts & Entertainment/Events, Shows & Cultural Attractions"
13499,"1,01,11,13,388","/Arts & Entertainment/Events, Shows & Cultural Attractions/Art Fairs & Festivals"
10606,10111,"/Arts & Entertainment/Events, Shows & Cultural Attractions/Event & Show Guides & Listings"
10602,10111,"/Arts & Entertainment/Events, Shows & Cultural Attractions/Expo Events & Shows"
11881,"1,06,02,10,001","/Arts & Entertainment/Events, Shows & Cultural Attractions/Expo Events & Shows/Car & Vehicle Shows"
11880,10602,"/Arts & Entertainment/Events, Shows & Cultural Attractions/Expo Events & Shows/Flower, Garden & Home Shows"
13498,"10,11,11,35,36,13,417","/Arts & Entertainment/Events, Shows & Cultural Attractions/Film Festivals"
13500,"1,01,11,10,010","/Arts & Entertainment/Events, Shows & Cultural Attractions/Food & Beverage Events"
13852,"1,01,11,10,106","/Arts & Entertainment/Events, Shows & Cultural Attractions/Live Comedy"
11885,"1,01,11,10,145","/Arts & Entertainment/Events, Shows & Cultural Attractions/Special Exhibits"
11886,10111,"/Arts & Entertainment/Events, Shows & Cultural Attractions/Theater & Theater Tickets"
10603,10111,"/Arts & Entertainment/Events, Shows & Cultural Attractions/Ticket Sales & Exchanges"
13425,10013,/Arts & Entertainment/Fun & Trivia
13489,13425,/Arts & Entertainment/Fun & Trivia/Fun Tests & Silly Surveys
10106,10013,/Arts & Entertainment/Humor & Jokes
13417,10013,/Arts & Entertainment/Movies & Films
13515,13417,/Arts & Entertainment/Movies & Films/Action & Adventure Films
13516,13515,/Arts & Entertainment/Movies & Films/Action & Adventure Films/Martial Arts Films
13517,13515,/Arts & Entertainment/Movies & Films/Action & Adventure Films/Superhero Films
13853,13515,/Arts & Entertainment/Movies & Films/Action & Adventure Films/Western Films
13518,"1,34,17,13,760",/Arts & Entertainment/Movies & Films/Animated Films
13663,13518,/Arts & Entertainment/Movies & Films/Animated Films/Anime
13519,13417,/Arts & Entertainment/Movies & Films/Bollywood & South Asian Film
13520,13417,/Arts & Entertainment/Movies & Films/Classic Films
13523,13417,/Arts & Entertainment/Movies & Films/Comedy Films
13521,13417,/Arts & Entertainment/Movies & Films/Cult & Indie Films
13522,13417,/Arts & Entertainment/Movies & Films/Documentary Films
13524,13417,/Arts & Entertainment/Movies & Films/Drama Films
13532,13417,/Arts & Entertainment/Movies & Films/Family & Children's Films
13531,13417,/Arts & Entertainment/Movies & Films/Film Noir
13729,"1,34,17,13,536",/Arts & Entertainment/Movies & Films/Filmmaking
13525,13417,/Arts & Entertainment/Movies & Films/Horror Films
13528,"1,34,17,10,111",/Arts & Entertainment/Movies & Films/Movie Theaters
10554,"1,34,17,10,111",/Arts & Entertainment/Movies & Films/Movie Tickets
13527,13417,/Arts & Entertainment/Movies & Films/Musical Films
13534,13417,/Arts & Entertainment/Movies & Films/Romance Films
13526,13417,/Arts & Entertainment/Movies & Films/Science Fiction & Fantasy Films
13535,13417,/Arts & Entertainment/Movies & Films/Sports Films
13533,13417,"/Arts & Entertainment/Movies & Films/Thriller, Crime & Mystery Films"
13529,13417,/Arts & Entertainment/Movies & Films/War Films
10109,10013,/Arts & Entertainment/Music & Audio
13799,10109,/Arts & Entertainment/Music & Audio/Children's Music
13538,10109,/Arts & Entertainment/Music & Audio/Classical Music
10593,"1,01,09,10,111",/Arts & Entertainment/Music & Audio/Concerts & Music Festivals
13539,10109,/Arts & Entertainment/Music & Audio/Country Music
13540,10109,/Arts & Entertainment/Music & Audio/Dance & Electronic Music
13541,10109,/Arts & Entertainment/Music & Audio/Experimental & Industrial Music
13542,10109,/Arts & Entertainment/Music & Audio/Folk & Traditional Music
13552,10109,/Arts & Entertainment/Music & Audio/Indie & Alternative Music
13543,10109,/Arts & Entertainment/Music & Audio/Jazz & Blues
13545,13543,/Arts & Entertainment/Music & Audio/Jazz & Blues/Blues
13544,13543,/Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz
13672,10109,/Arts & Entertainment/Music & Audio/Latin Music
10596,"1,01,09,10,108",/Arts & Entertainment/Music & Audio/Music & Audio CDs
10595,"1,01,09,13,670",/Arts & Entertainment/Music & Audio/Music & Audio Retailers
13427,"1,01,09,10,136",/Arts & Entertainment/Music & Audio/Music Education & Instruction
10591,"1,01,09,13,691",/Arts & Entertainment/Music & Audio/Music Streams & Downloads
10590,10109,/Arts & Entertainment/Music & Audio/Music Videos
10592,10109,/Arts & Entertainment/Music & Audio/Musical Instruments & Equipment
13855,10592,/Arts & Entertainment/Music & Audio/Musical Instruments & Equipment/Drums & Percussion
11879,10592,/Arts & Entertainment/Music & Audio/Musical Instruments & Equipment/Guitars
13537,10592,/Arts & Entertainment/Music & Audio/Musical Instruments & Equipment/Music Recording Technology
11877,10592,/Arts & Entertainment/Music & Audio/Musical Instruments & Equipment/Musical Instrument & Performance Amplifiers
11878,"1,05,92,12,703",/Arts & Entertainment/Music & Audio/Musical Instruments & Equipment/Musical Instrument Digital Interfaces & Synthesizers
13424,10592,/Arts & Entertainment/Music & Audio/Musical Instruments & Equipment/Pianos & Keyboards
13546,10109,/Arts & Entertainment/Music & Audio/Pop Music
10570,10109,/Arts & Entertainment/Music & Audio/Radio
10587,"10,57,01,34,18,13,691",/Arts & Entertainment/Music & Audio/Radio/Internet Radio
11865,10570,/Arts & Entertainment/Music & Audio/Radio/Radio Programs & Shows
12971,10570,/Arts & Entertainment/Music & Audio/Radio/Satellite Radio
10588,"1,01,09,13,574",/Arts & Entertainment/Music & Audio/Record Labels
13547,10109,/Arts & Entertainment/Music & Audio/Religious Music
13548,13547,/Arts & Entertainment/Music & Audio/Religious Music/Christian & Gospel Music
13549,10109,/Arts & Entertainment/Music & Audio/Rock Music
13550,13549,/Arts & Entertainment/Music & Audio/Rock Music/Classic Rock & Oldies
13551,13549,/Arts & Entertainment/Music & Audio/Rock Music/Hard Rock & Progressive
13553,13549,/Arts & Entertainment/Music & Audio/Rock Music/Metal (Music)
13554,13549,/Arts & Entertainment/Music & Audio/Rock Music/Punk Rock
10589,10109,/Arts & Entertainment/Music & Audio/Song Lyrics & Tabs
13568,10109,/Arts & Entertainment/Music & Audio/Songwriters & Composers
13555,10109,/Arts & Entertainment/Music & Audio/Soundtracks
13556,10109,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop
13557,13556,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Rap & Hip-Hop
13743,13556,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Reggaeton
13558,13556,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Soul & R&B
13832,10109,/Arts & Entertainment/Music & Audio/Vinyl Records
13559,10109,/Arts & Entertainment/Music & Audio/Vocals & Show Tunes
13560,10109,/Arts & Entertainment/Music & Audio/World Music
13561,13560,/Arts & Entertainment/Music & Audio/World Music/African Music
13562,13560,/Arts & Entertainment/Music & Audio/World Music/Arab & Middle Eastern Music
13563,13560,/Arts & Entertainment/Music & Audio/World Music/East Asian Music
13564,13560,/Arts & Entertainment/Music & Audio/World Music/Reggae & Caribbean Music
13565,13560,/Arts & Entertainment/Music & Audio/World Music/South Asian Music
13566,10013,/Arts & Entertainment/Offbeat
13567,13566,/Arts & Entertainment/Offbeat/Edgy & Bizarre
10110,"1,00,13,10,014",/Arts & Entertainment/Sports Entertainment
10598,10110,/Arts & Entertainment/Sports Entertainment/Fantasy Sports
13635,"1,01,10,13,633",/Arts & Entertainment/Sports Entertainment/Professional Wrestling
10597,10110,/Arts & Entertainment/Sports Entertainment/Sport Scores & Statistics
11883,"1,01,10,10,111",/Arts & Entertainment/Sports Entertainment/Sports Event Tickets & Ticketing Services
10599,10110,/Arts & Entertainment/Sports Entertainment/Sports Fan Sites & Blogs
10103,10013,/Arts & Entertainment/TV & Video
13511,"1,01,03,10,108",/Arts & Entertainment/TV & Video/Blu-Ray Discs
10561,"1,01,03,13,670",/Arts & Entertainment/TV & Video/DVD & Blu-Ray Retailers
13824,"1,01,03,13,842",/Arts & Entertainment/TV & Video/DVD & Video Rentals
10558,"1,01,03,10,108",/Arts & Entertainment/TV & Video/Entertainment DVDs
10553,"1,01,03,13,417",/Arts & Entertainment/TV & Video/Movie & TV Fan Sites
13572,"10,10,31,34,17,10,756",/Arts & Entertainment/TV & Video/Movie & TV Reference
10560,"1,35,72,10,606","/Arts & Entertainment/TV & Video/Movie & TV Reference/Movie Reviews, Previews & Listings"
13730,13572,/Arts & Entertainment/TV & Video/Movie & TV Reference/TV Guides & Reference
10556,"1,01,03,13,691",/Arts & Entertainment/TV & Video/Video Clips
10562,10103,/Arts & Entertainment/TV & Video/Video On Demand
13388,10013,/Arts & Entertainment/Visual Art & Design
13595,13388,/Arts & Entertainment/Visual Art & Design/Painting
10005,0,/Beauty & Personal Care
10050,10005,/Beauty & Personal Care/Anti-Aging
11434,"1,00,50,10,358",/Beauty & Personal Care/Anti-Aging/Anti-Aging Creams & Moisturizers
13422,10005,/Beauty & Personal Care/Body Art
10898,"1,34,22,10,171",/Beauty & Personal Care/Body Art/Body Jewelry & Piercings
10315,13422,/Beauty & Personal Care/Body Art/Tattoo Removal
13636,"1,00,05,10,013",/Beauty & Personal Care/Fashion & Style
13637,"1,36,36,10,021",/Beauty & Personal Care/Fashion & Style/Fashion Designers & Collections
13638,"1,36,36,10,105",/Beauty & Personal Care/Fashion & Style/Fashion Modeling
11414,"13,63,61,00,54,10,339",/Beauty & Personal Care/Fashion & Style/Virtual Makeovers
10055,10005,/Beauty & Personal Care/Hair Care
10335,10055,/Beauty & Personal Care/Hair Care/Damaged Hair
10337,10055,/Beauty & Personal Care/Hair Care/Hair Dyes & Coloring
10477,"10,05,51,04,80,10,085",/Beauty & Personal Care/Hair Care/Hair Loss
11727,10477,/Beauty & Personal Care/Hair Care/Hair Loss/Hair Loss Procedures
11726,10477,/Beauty & Personal Care/Hair Care/Hair Loss/Hair Loss Products
10336,10055,/Beauty & Personal Care/Hair Care/Hair Straighteners & Relaxers
